Timestamp,Open price,Close price,High price,Low price,Volume
2022-08-05 16:45:00,23039,23046.5,23050,22984,4924815
2022-08-05 17:00:00,23046.5,23275,23299,23015,24439360
2022-08-05 17:15:00,23275,23232.5,23349,23175,19453272
2022-08-05 17:30:00,23232.5,23197.5,23247,23170,10445006
2022-08-05 17:45:00,23197.5,23168,23305,23162.5,11748831
2022-08-05 18:00:00,23168,23072.5,23191.5,23072.5,10741653
2022-08-05 18:15:00,23072.5,22962,23131,22955.5,14725710
2022-08-05 18:30:00,22962,22997,23041.5,22942,8475316
2022-08-05 18:45:00,22997,22980,23042,22973,5154599
2022-08-05 19:00:00,22980,22981,23029.5,22935,6127282
2022-08-05 19:15:00,22981,22983,23065.5,22959.5,8807336
2022-08-05 19:30:00,22983,22994.5,23002.5,22897,11291159
2022-08-05 19:45:00,22994.5,23029,23030,22970,6441884
2022-08-05 20:00:00,23029,23045,23096.5,22986.5,7594552
2022-08-05 20:15:00,23045,22972,23060.5,22961,2707862
2022-08-05 20:30:00,22972,22958.5,23028.5,22948,2736903
2022-08-05 20:45:00,22958.5,22818.5,22976.5,22777,31655227
2022-08-05 21:00:00,22818.5,22818.5,22873,22792.5,7539112
2022-08-05 21:15:00,22818.5,22781.5,22864.5,22756,5718278
2022-08-05 21:30:00,22781.5,22837,22843.5,22777,2781051
2022-08-05 21:45:00,22837,22791,22837,22738,4736491
2022-08-05 22:00:00,22791,22869.5,22891,22765.5,6201743
2022-08-05 22:15:00,22869.5,22865,22918.5,22838.5,5690119
2022-08-05 22:30:00,22865,22895.5,22926,22857,2906248
2022-08-05 22:45:00,22895.5,22926,22945,22895,3707686
2022-08-05 23:00:00,22926,22886.5,22926,22833,4282974
2022-08-05 23:15:00,22886.5,22912.5,22954,22886.5,2264932
2022-08-05 23:30:00,22912.5,22935.5,22940,22901,1517407
2022-08-05 23:45:00,22935.5,22973.5,22991,22933.5,5023977
2022-08-06 00:00:00,22973.5,23151.5,23181,22973.5,16096408
2022-08-06 00:15:00,23151.5,23177.5,23222.5,23065,17831617
2022-08-06 00:30:00,23177.5,23093,23177.5,23082,4239989
2022-08-06 00:45:00,23093,23099.5,23151,23093,1887099
2022-08-06 01:00:00,23099.5,23166.5,23182.5,23099.5,2779045
2022-08-06 01:15:00,23166.5,23147.5,23200,23135.5,2867556
2022-08-06 01:30:00,23147.5,23202.5,23223.5,23146,3053158
2022-08-06 01:45:00,23202.5,23235,23272.5,23170.5,6399320
2022-08-06 02:00:00,23235,23247,23272.5,23180.5,4228059
2022-08-06 02:15:00,23247,23222,23247.5,23200,3640481
2022-08-06 02:30:00,23222,23238.5,23269,23205,2596299
2022-08-06 02:45:00,23238.5,23302.5,23323,23150,12739870
2022-08-06 03:00:00,23302.5,23220.5,23340.5,23201.5,20139742
2022-08-06 03:15:00,23220.5,23238,23273,23191.5,3381331
2022-08-06 03:30:00,23238,23300.5,23320,23238,6943088
2022-08-06 03:45:00,23300.5,23256,23344,23230.5,6166552
2022-08-06 04:00:00,23256,23265,23283,23238.5,2647022
2022-08-06 04:15:00,23265,23230.5,23280,23207.5,2316071
2022-08-06 04:30:00,23230.5,23216.5,23236,23205,2882977
2022-08-06 04:45:00,23216.5,23212,23271,23181,6222618
2022-08-06 05:00:00,23212,23230,23230,23188,1658416
2022-08-06 05:15:00,23230,23214.5,23248,23192,3204485
2022-08-06 05:30:00,23214.5,23215.5,23221,23185.5,2682756
2022-08-06 05:45:00,23215.5,23266.5,23277,23215.5,1672782
2022-08-06 06:00:00,23266.5,23206,23276.5,23202.5,3230968
2022-08-06 06:15:00,23206,23169.5,23206.5,23146.5,4400305
2022-08-06 06:30:00,23169.5,23188.5,23204.5,23159.5,1794035
2022-08-06 06:45:00,23188.5,23163.5,23191,23153,1151005
2022-08-06 07:00:00,23163.5,23172.5,23172.5,23155,1425707
2022-08-06 07:15:00,23172.5,23189.5,23205,23162,2529770
2022-08-06 07:30:00,23189.5,23196.5,23208,23177.5,2160691
2022-08-06 07:45:00,23196.5,23212.5,23219,23187,1222447
2022-08-06 08:00:00,23212.5,23185.5,23227,23175.5,2042336
2022-08-06 08:15:00,23185.5,23146,23191,23135,3702860
2022-08-06 08:30:00,23146,23168,23168,23144,1008177
2022-08-06 08:45:00,23168,23194.5,23201,23160.5,1850673
2022-08-06 09:00:00,23194.5,23187,23200,23176.5,1038767
2022-08-06 09:15:00,23187,23169,23197,23155.5,607685
2022-08-06 09:30:00,23169,23142,23185,23137,1992397
2022-08-06 09:45:00,23142,23185,23185.5,23141.5,1181151
2022-08-06 10:00:00,23185,23165.5,23195,23165.5,1002210
2022-08-06 10:15:00,23165.5,23176.5,23195,23165.5,701557
2022-08-06 10:30:00,23176.5,23178.5,23192,23175.5,627162
2022-08-06 10:45:00,23178.5,23191,23224.5,23178.5,2471594
2022-08-06 11:00:00,23191,23218,23228.5,23176.5,7406347
2022-08-06 11:15:00,23218,23202,23245.5,23194,1978779
2022-08-06 11:30:00,23202,23155,23202,23100,8756995
2022-08-06 11:45:00,23155,23140.5,23191,23129.5,2696383
2022-08-06 12:00:00,23140.5,23143.5,23158,23128,1068759
2022-08-06 12:15:00,23143.5,23157.5,23172,23143.5,1269038
2022-08-06 12:30:00,23157.5,23180,23180,23140.5,1380984
2022-08-06 12:45:00,23180,23169.5,23180,23154,1322628
2022-08-06 13:00:00,23169.5,23188,23191,23169,2441061
2022-08-06 13:15:00,23188,23193.5,23198.5,23169.5,1118150
2022-08-06 13:30:00,23193.5,23196.5,23205,23181.5,1424628
2022-08-06 13:45:00,23196.5,23169.5,23196.5,23169,620425
2022-08-06 14:00:00,23169.5,23183,23191,23169,461063
2022-08-06 14:15:00,23183,23165,23189,23163,1180092
2022-08-06 14:30:00,23165,23177,23180,23153.5,1220359
2022-08-06 14:45:00,23177,23151,23180,23150,1718821
2022-08-06 15:00:00,23151,23177,23183,23151,1957328
